Year,Country,Funding Category,Foreign Assistance (USD),ODA (USD)
2021,Nepal,Water and Sanitation,827040,
2021,Nepal,Social Services,302569,
2021,Nepal,Education,194016,77473.0
2021,Nepal,Biosphere and Biodiversity,56493,56493.0
2021,Nepal,Commodity Aid,6472,
2021,Niger,Social Services,14728635,
2021,Niger,Water and Sanitation,4545850,56847.0
2021,Niger,Education,1063536,485310.0
2021,Niger,Commodity Aid,782318,467556.0
2021,Niger,General Programme Assistance,488407,
2021,Niger,Health,459776,
2021,Rwanda,Education,2463615,1717843.0
2021,Rwanda,Health,1623250,1623250.0
2021,Rwanda,Energy Generation and Supply,100000,100000.0
2021,Senegal,Social Services,8282928,
2021,Senegal,Government and Civil Society,1504920,1504920.0
2021,Senegal,Transport and Storage,1236047,616900.0
2021,Senegal,Water and Sanitation,1044083,27770.0
2021,Senegal,Education,906814,623109.0
2021,Senegal,Commodity Aid,478178,463506.0
2021,Senegal,General Programme Assistance,251978,
2021,Senegal,Health,78690,
2021,Sierra Leone,Health,8000000,8000000.0
2021,Sierra Leone,Energy Generation and Supply,1404846,798213.0
2021,Sierra Leone,Social Services,973623,
2021,Sierra Leone,Commodity Aid,466827,461382.0
2021,Sierra Leone,Water and Sanitation,375261,
2021,Sierra Leone,General Programme Assistance,136129,
2021,Somalia,Construction and Civil Development,20390000,20390000.0
2021,Somalia,Social Services,7698730,
2021,Somalia,Energy Generation and Supply,2930000,2930000.0
2021,Somalia,Commodity Aid,1663634,1519914.0
2021,Somalia,Health,1082224,909477.0
2021,Somalia,Education,1030273,865705.0
2021,Somalia,General Programme Assistance,433869,270515.0
2021,Somalia,Water and Sanitation,290789,
2021,Somalia,Biosphere and Biodiversity,5001,5001.0
2021,South Sudan,General Programme Assistance,2044193,1840000.0
2021,South Sudan,Education,519879,519879.0
2021,Sudan,Social Services,24281126,574435.0
2021,Sudan,Health,23325249,22776000.0
2021,Sudan,Agriculture,19560000,19560000.0
2021,Sudan,General Programme Assistance,3447941,2811455.0
2021,Sudan,Commodity Aid,2724524,1360665.0
2021,Sudan,Water and Sanitation,2422461,298512.0
2021,Sudan,Education,2206749,1753820.0
2021,Sudan,Government and Civil Society,898028,898028.0
2021,"Tanzania, United Republic of",Social Services,3054141,
2021,"Tanzania, United Republic of",Commodity Aid,1239711,25529.0
2021,"Tanzania, United Republic of",Water and Sanitation,845079,
2021,"Tanzania, United Republic of",Education,694862,462852.0
2021,"Tanzania, United Republic of",Health,422257,150000.0
2021,"Tanzania, United Republic of",General Programme Assistance,171658,
2021,"Tanzania, United Republic of",Biosphere and Biodiversity,24003,24003.0
2021,Togo,Energy Generation and Supply,5240947,2941503.0
2021,Togo,Social Services,2782811,
2021,Togo,Water and Sanitation,448683,24939.0
2021,Togo,Education,357310,357310.0
2021,Togo,Health,59681,
2021,Togo,Commodity Aid,27226,
2021,Tuvalu,General Programme Assistance,136129,
2021,Uganda,Social Services,7738430,50000.0
2021,Uganda,Education,1750875,1067255.0
2021,Uganda,Health,1406578,1167000.0
2021,Uganda,Energy Generation and Supply,1353117,668157.0
2021,Uganda,Water and Sanitation,508922,129839.0
2021,Uganda,Commodity Aid,69412,33909.0
2021,Uganda,Biosphere and Biodiversity,28314,28314.0
2021,Vanuatu,Biosphere and Biodiversity,24003,24003.0
2021,Yemen,Commodity Aid,189206766,189036788.0
2021,Yemen,Health,42189028,41100000.0
2021,Yemen,General Programme Assistance,26361478,26361478.0
2021,Yemen,Energy Generation and Supply,1347672,1347672.0
2021,Yemen,Water and Sanitation,1001919,1001919.0
2021,Yemen,Social Services,873353,
2021,Yemen,Education,299483,299483.0
2021,Zambia,Health,300000,300000.0
2021,Armenia,Water and Sanitation,50000,50000.0
2021,Armenia,Social Services,33154,19989.0
2021,Armenia,Biosphere and Biodiversity,4987,4987.0
2021,Azerbaijan,Health,240000,240000.0
2021,Azerbaijan,Social Services,10890,
2021,"Bolivia, Plurinational State of",Biosphere and Biodiversity,65504,65504.0
2021,Eswatini,Health,294000,294000.0
2021,Kazakhstan,Social Services,3988282,539940.0
2021,Kazakhstan,Commodity Aid,243738,87122.0
2021,Kazakhstan,Education,103403,43561.0
2021,Kazakhstan,Water and Sanitation,62571,26137.0
2021,Kazakhstan,Health,10119,
2021,Kyrgyzstan,Government and Civil Society,1112909,1112909.0
2021,Kyrgyzstan,Commodity Aid,978184,562117.0
2021,Kyrgyzstan,Water and Sanitation,3286251,294038.0
2021,Kyrgyzstan,Transport and Storage,740539,263319.0
2021,Kyrgyzstan,Education,385111,152464.0
2021,Kyrgyzstan,Health,289735,108903.0
2021,Kyrgyzstan,Social Services,9279138,58151.0
2021,Kyrgyzstan,General Programme Assistance,116135,
2021,Latvia,Social Services,13613,
2021,"Moldova, Republic of",Health,60000,
2021,"Moldova, Republic of",General Programme Assistance,136129,
2021,Mongolia,Biosphere and Biodiversity,13002,13002.0
2021,Mongolia,Social Services,27226,
2021,Paraguay,Education,318769,239077.0
2021,Paraguay,Health,90000,90000.0
2021,Paraguay,Biosphere and Biodiversity,20003,20003.0
2021,North Macedonia,Health,60000,60000.0
2021,North Macedonia,Social Services,5445,
2021,North Macedonia,Commodity Aid,60986,
2021,North Macedonia,General Programme Assistance,136129,
2021,Tajikistan,Water and Sanitation,5012300,2238347.0
2021,Tajikistan,Commodity Aid,462030,461480.0
2021,Tajikistan,Education,810840,439226.0
2021,Tajikistan,Social Services,2407523,407188.0
2021,Tajikistan,Health,454065,266949.0
2021,Tajikistan,Energy Generation and Supply,1967,
2021,Turkmenistan,Health,3540000,3540000.0
2021,Uzbekistan,Government and Civil Society,11315776,11315776.0
2021,Uzbekistan,Transport and Storage,5728288,5728288.0
2021,Uzbekistan,Agriculture,14000000,4789806.0
2021,Uzbekistan,Health,3916878,3889653.0
2021,Uzbekistan,Social Services,165641,8364.0
2021,Uzbekistan,Biosphere and Biodiversity,7971,7971.0
2021,Zimbabwe,Social Services,40839,
2021,Antigua and Barbuda,Energy Generation and Supply,2195031,2031929.0
2021,Belize,Energy Generation and Supply,2700000,2700000.0
2021,Belize,Health,300000,300000.0
2021,Belize,Biosphere and Biodiversity,37255,37255.0
2021,Cabo Verde,Social Services,17697,
2021,Cabo Verde,Biosphere and Biodiversity,15002,15002.0
2021,Cuba,Health,721793,721793.0
2021,Cuba,General Programme Assistance,136129,
2021,Cuba,Biosphere and Biodiversity,17502,17502.0
2021,Cuba,Social Services,10890,
2021,Dominica,Energy Generation and Supply,1950000,1950000.0
2021,Dominica,General Programme Assistance,136129,
2021,Dominican Republic,Energy Generation and Supply,750000,750000.0
2021,Dominican Republic,Biosphere and Biodiversity,5001,5001.0
2021,Fiji,Education,3150000,
2021,Fiji,General Programme Assistance,136129,
2021,Fiji,Commodity Aid,100000,
2021,Fiji,Social Services,10890,
2021,Grenada,Energy Generation and Supply,1500000,1500000.0
2021,Guinea-Bissau,Commodity Aid,411481,411481.0
2021,Guinea-Bissau,Social Services,69058,50000.0
2021,Guyana,Energy Generation and Supply,750000,750000.0
2021,Jamaica,Education,50000,50000.0
2021,Maldives,Transport and Storage,2801699,1826510.0
2021,Maldives,Health,1506000,1506000.0
2021,Maldives,Energy Generation and Supply,800000,800000.0
2021,Maldives,General Programme Assistance,136129,
2021,Maldives,Education,119930,
2021,Mauritius,Social Services,323581,
2021,Mauritius,Health,155410,150000.0
2021,Mauritius,Water and Sanitation,10626,
2021,Montserrat,Biosphere and Biodiversity,15002,15002.0
2021,Saint Lucia,Energy Generation and Supply,750000,750000.0
2021,Saint Vincent and the Grenadines,Commodity Aid,444300,444300.0
2021,Saint Vincent and the Grenadines,Energy Generation and Supply,330000,330000.0
2021,Suriname,Energy Generation and Supply,1500136,1500136.0
2021,Tonga,General Programme Assistance,136129,
2021,Tonga,Social Services,5445,
2020,Afghanistan,Health,2522844,2472937.0
2020,Afghanistan,Education,940435,932136.0
2020,Afghanistan,Social Services,791188,737600.0
2020,Afghanistan,Construction and Civil Development,540000,540000.0
2020,Afghanistan,Water and Sanitation,215845,125293.0
2020,Afghanistan,Commodity Aid,21183,21183.0
2020,Angola,Transport and Storage,23228,23228.0
2020,Bangladesh,Education,2147849,1735137.0
2020,Bangladesh,Health,2168705,1369990.0
2020,Bangladesh,General Programme Assistance,120000,120000.0
2020,Bangladesh,Commodity Aid,3893712,52860.0
2020,Bangladesh,Water and Sanitation,2056023,17642.0
2020,Bangladesh,Transport and Storage,6438,6438.0
2020,Bangladesh,Social Services,3436366,
2020,Benin,Water and Sanitation,743814,510074.0
2020,Benin,Education,330322,295422.0
2020,Benin,Health,209936,203192.0
2020,Benin,Transport and Storage,23228,23228.0
2020,Benin,Biosphere and Biodiversity,11502,11502.0
2020,Benin,Commodity Aid,1634,
2020,Benin,Social Services,1494788,
2020,Benin,Energy Generation and Supply,1903,
2020,Bhutan,Biosphere and Biodiversity,11994,11994.0
2020,Burkina Faso,Health,1298171,1197998.0
2020,Burkina Faso,Education,538532,527344.0
2020,Burkina Faso,General Programme Assistance,300000,300000.0
2020,Burkina Faso,Transport and Storage,23228,23228.0
2020,Burkina Faso,Commodity Aid,3666,
2020,Burkina Faso,Water and Sanitation,2243716,
2020,Burkina Faso,Energy Generation and Supply,11393,
2020,Burkina Faso,Social Services,8466357,
2020,Burundi,Education,899474,545681.0
2020,Burundi,Commodity Aid,50000,50000.0
2020,Burundi,Social Services,70679,
2020,Cambodia,Health,887589,881520.0
2020,Cambodia,Education,150947,135912.0
2020,Cambodia,Biosphere and Biodiversity,40756,40756.0
2020,Cambodia,Water and Sanitation,139921,
2020,Cambodia,Social Services,56342,
2020,Central African Republic,General Programme Assistance,234000,234000.0
2020,Chad,Education,492714,492714.0
2020,Chad,Health,50798,50798.0
2020,Chad,Commodity Aid,40825,
2020,Chad,Water and Sanitation,500603,
2020,Chad,Social Services,448713,
2020,Comoros,Energy Generation and Supply,2880000,2880000.0
2020,Comoros,Health,1554827,1554827.0
2020,Comoros,Commodity Aid,703651,702140.0
2020,Comoros,Education,467652,467652.0
2020,Comoros,Government and Civil Society,80378,80378.0
2020,Comoros,Transport and Storage,7972,7972.0
2020,Comoros,Water and Sanitation,12206,
2020,Comoros,General Programme Assistance,272257,
2020,Comoros,Social Services,75059,
2020,Djibouti,Transport and Storage,23228,23228.0
2020,Djibouti,Education,8497,5829.0
2020,Djibouti,Social Services,39284,
2020,Djibouti,Health,5001,
2020,Congo,Health,1008000,1008000.0
2020,Congo,Education,371848,371848.0
2020,Congo,Water and Sanitation,3815,
2020,Congo,Social Services,9995,
2020,Eritrea,Fishing,3920000,3920000.0
2020,Eritrea,Transport and Storage,299755,299755.0
2020,Eritrea,Education,11658,11658.0
2020,Ethiopia,General Programme Assistance,5790000,5790000.0
2020,Ethiopia,Health,5480208,4900106.0
2020,Ethiopia,Education,953771,952963.0
2020,Ethiopia,Commodity Aid,72321,72321.0
2020,Ethiopia,Water and Sanitation,120610,
2020,Ethiopia,Social Services,584593,
2020,Gambia,Transport and Storage,2099102,1036517.0
2020,Gambia,Health,884130,840000.0
2020,Gambia,Education,406067,367113.0
2020,Gambia,Water and Sanitation,200246,13613.0
2020,Gambia,General Programme Assistance,136129,
2020,Gambia,Social Services,341734,
2020,Gambia,Energy Generation and Supply,2961591,2961591.0
2020,Gambia,Government and Civil Society,1160000,1160000.0
2020,Gambia,Health,1119713,1080000.0
2020,Gambia,Social Services,739433,270000.0
2020,Gambia,Education,298396,119750.0
2020,Gambia,Water and Sanitation,164934,
2020,Gambia,Commodity Aid,6820,
2020,Guinea-Bissau,Education,33644,33644.0
2020,Guinea-Bissau,Social Services,10494,
2020,Haiti,Health,17196,17196.0
2020,Kiribati,Health,111429,
2020,Lao People's Democratic Republic,Biosphere and Biodiversity,10001,10001.0
2020,Lesotho,Social Services,8995,
2020,Liberia,Health,375041,375041.0
2020,Liberia,Education,265976,261685.0
2020,Liberia,Social Services,117793,70000.0
2020,Liberia,Water and Sanitation,34583,
2020,Liberia,Commodity Aid,5445,
2020,Madagascar,Commodity Aid,1590092,1590092.0
2020,Madagascar,Health,1346880,1346880.0
2020,Madagascar,Education,348047,348047.0
2020,Madagascar,Biosphere and Biodiversity,59061,59061.0
2020,Madagascar,Social Services,12993,
2020,Malawi,Education,270530,248140.0
